"filename", "language", "HTML", "Markdown", "PostCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\vestb\Downloads\ProsjektHelseNorge\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\vestb\Downloads\ProsjektHelseNorge\adminpanel.html", "HTML", 49, 0, 0, 0, 0, 0, 13, 62
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\pdf\frame\mcqsystem.html", "HTML", 79, 0, 0, 0, 0, 1, 9, 89
"c:\Users\vestb\Downloads\ProsjektHelseNorge\asset\image\site.webmanifest", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\vestb\Downloads\ProsjektHelseNorge\bmisite.html", "HTML", 90, 0, 0, 0, 0, 0, 15, 105
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\mcq.css", "PostCSS", 0, 0, 167, 0, 0, 1, 5, 173
"c:\Users\vestb\Downloads\ProsjektHelseNorge\css\style.css", "PostCSS", 0, 0, 1298, 0, 0, 21, 240, 1559
"c:\Users\vestb\Downloads\ProsjektHelseNorge\helsesøk.html", "HTML", 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\vestb\Downloads\ProsjektHelseNorge\index.html", "HTML", 151, 0, 0, 0, 0, 0, 14, 165
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\adminpanel.js", "JavaScript", 0, 0, 0, 143, 0, 3, 46, 192
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\bmi.js", "JavaScript", 0, 0, 0, 46, 0, 2, 12, 60
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\calorie.js", "JavaScript", 0, 0, 0, 43, 0, 0, 8, 51
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\mcq.js", "JavaScript", 0, 0, 0, 136, 0, 0, 19, 155
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\reaction.js", "JavaScript", 0, 0, 0, 76, 0, 0, 17, 93
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\script.js", "JavaScript", 0, 0, 0, 58, 0, 5, 14, 77
"c:\Users\vestb\Downloads\ProsjektHelseNorge\js\search.js", "JavaScript", 0, 0, 0, 87, 0, 1, 20, 108
"c:\Users\vestb\Downloads\ProsjektHelseNorge\livogkost.html", "HTML", 113, 0, 0, 0, 0, 0, 20, 133
"c:\Users\vestb\Downloads\ProsjektHelseNorge\omoss.html", "HTML", 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\vestb\Downloads\ProsjektHelseNorge\reaction.html", "HTML", 105, 0, 0, 0, 0, 0, 10, 115
"Total", "-", 730, 2, 1465, 589, 1, 34, 484, 3305
